carat,x,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
0.7,5.68,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1856
1.2,6.8,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,4368
0.27,4.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,537
0.46,5.08,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,1452
0.28,4.22,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,514
0.51,5.17,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1443
0.32,4.38,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,567
0.74,5.75,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,2170
1.7,7.62,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,15804
0.39,4.71,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,790
1.01,6.3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3655
0.9,6.06,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,3898
0.41,4.79,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1015
0.3,4.28,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,878
0.36,4.49,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,789
0.4,4.72,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1050
0.79,6.02,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3377
0.55,5.35,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1186
0.26,4.12,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,532
1.12,6.65,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,4840
0.28,4.26,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,481
0.7,5.89,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,2553
0.35,4.51,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,644
0.32,4.42,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,561
0.91,6.15,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,3282
0.35,4.54,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,885
0.61,5.49,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2481
0.31,4.33,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,523
0.55,5.22,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,965
0.3,4.25,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,421
0.55,5.31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1768
1.52,7.44,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,11621
1.3,6.98,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7044
0.45,4.95,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,764
1.07,6.54,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,4401
1.52,7.38,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,16628
0.55,5.26,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1667
0.34,4.52,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,974
0.3,4.21,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,526
1.22,6.84,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,8213
0.4,4.73,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,705
1.01,6.59,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,5185
0.3,4.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2366
0.41,4.78,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,743
1.0,6.35,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,5020
2.2,8.47,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,16530
0.7,5.74,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1702
0.36,4.58,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,648
0.51,5.05,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1599
1.51,7.25,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,10000
0.47,4.98,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,931
0.4,4.67,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,737
0.71,5.7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,3376
0.7,5.79,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3063
0.51,5.18,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1546
0.77,5.98,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3234
0.51,5.08,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1656
1.01,6.45,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,8688
0.4,4.76,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1050
0.3,4.4,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,608
0.74,5.85,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4274
1.31,7.04,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,9331
0.54,5.24,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1724
0.38,4.7,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,660
1.1,6.66,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,5359
0.7,5.65,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,3887
0.3,4.25,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,709
0.71,5.76,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1986
1.5,7.34,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,6048
0.41,4.77,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,811
1.03,6.42,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,5366
0.81,5.98,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,4111
0.72,5.76,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,3084
0.7,5.73,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2423
0.54,5.26,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1216
0.53,5.16,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2372
0.47,4.98,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,884
0.31,4.38,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,642
1.5,7.29,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,10989
0.3,4.28,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,526
0.38,4.71,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1069
0.8,5.92,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2409
0.29,4.27,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,471
1.06,6.47,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,5456
1.24,6.98,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,4937
0.3,4.3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,655
0.31,4.32,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,914
0.31,4.37,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,914
1.09,6.6,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5164
1.01,6.27,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,6283
0.52,5.15,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2430
0.38,4.65,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1400
0.41,4.72,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1153
2.07,8.2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,13800
1.01,6.29,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7303
0.7,5.68,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,3018
1.03,6.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5378
0.41,4.78,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1582
0.58,5.34,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,2211
2.0,7.6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5914
0.4,4.77,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,975
1.0,6.37,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,4394
0.5,5.11,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,895
0.34,4.51,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,571
0.41,4.75,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1295
0.32,4.38,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,756
0.27,4.13,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,622
0.4,4.79,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1200
0.31,4.4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,872
1.2,6.78,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,10367
0.27,4.16,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,796
0.53,5.29,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2051
2.3,8.53,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,11051
1.35,7.28,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,5579
0.5,4.98,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1009
1.09,6.56,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5164
2.01,8.06,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,13796
0.48,5.08,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2677
0.57,5.26,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,1851
0.9,6.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,4296
1.0,6.32,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,7950
0.31,4.36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,949
0.3,4.31,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,776
0.7,5.68,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2553
1.52,7.39,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,8512
0.3,4.25,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,684
1.4,7.22,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,10976
1.52,7.27,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,10419
0.3,4.26,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,450
3.01,9.44,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,14220
1.0,6.31,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4032
1.11,6.64,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,5450
0.41,4.79,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1115
0.51,5.2,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1052
0.54,5.26,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,1426
0.8,6.13,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2640
1.16,6.71,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,5072
1.01,6.41,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,5260
0.4,4.75,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,654
0.31,4.37,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,778
0.71,5.69,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,2598
0.53,5.25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1842
0.93,6.15,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,2438
1.0,6.03,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4435
0.34,4.45,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,745
0.7,5.7,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2536
1.22,6.91,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,5192
0.41,4.82,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1076
0.78,5.88,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,3581
1.41,7.04,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,9088
0.3,4.34,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,776
0.7,5.63,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,2398
0.33,4.43,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,579
1.01,6.48,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,6794
0.5,5.01,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,1568
0.31,4.37,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,710
1.3,7.11,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,14196
0.45,4.91,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,709
1.53,7.44,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,15365
0.32,4.39,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1140
0.5,5.1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1806
0.71,5.66,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,2040
1.01,6.38,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,3733
1.21,6.9,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,7142
0.31,4.34,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,523
1.05,6.54,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8451
1.0,6.3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,5929
1.06,6.47,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,4155
0.9,6.11,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3193
1.17,6.71,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,4914
0.52,5.03,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1860
0.3,4.35,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,778
0.44,4.83,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,694
1.01,6.37,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3111
1.11,6.65,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,4883
1.52,7.3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12431
0.75,5.72,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,3129
0.72,5.74,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3478
2.08,8.13,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,17469
1.08,6.58,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,8674
0.31,4.37,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,559
0.42,4.85,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1024
0.54,5.24,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1304
1.21,6.91,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,5082
0.8,6.03,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2939
0.8,6.03,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2304
0.34,4.48,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,745
0.39,4.68,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1036
1.03,6.46,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4679
0.71,5.76,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2386
0.55,5.25,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,1786
0.5,5.06,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,1723
1.5,7.64,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,9702
1.75,7.72,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,16783
0.58,5.34,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1226
0.3,4.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,495
2.25,8.46,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,16004
0.41,4.76,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,755
2.01,8.07,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13219
1.11,6.69,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,8528
1.0,6.34,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,4200
0.85,6.09,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,3871
0.51,5.1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1376
0.74,5.73,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,2468
1.09,6.64,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,4871
0.33,4.48,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1114
2.0,8.08,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,12907
0.7,5.58,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1959
0.41,4.8,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1153
0.74,5.77,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2715
0.33,4.43,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,824
0.73,5.77,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2596
0.3,4.29,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,710
0.32,4.45,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,929
0.7,5.78,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2583
1.23,6.79,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,6152
0.68,5.56,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,3143
0.58,5.3,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1346
0.32,4.41,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,720
1.22,6.86,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,6776
0.73,5.8,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2376
0.74,5.78,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,4082
0.6,5.53,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2065
0.31,4.36,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,988
0.31,4.32,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,725
0.34,4.54,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,526
1.58,7.47,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,11110
1.02,6.41,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11573
1.5,7.32,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,8685
0.3,4.34,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,776
1.06,6.54,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,9118
0.33,4.51,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,933
0.71,5.75,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1800
1.46,7.34,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,7931
0.75,5.91,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2991
0.55,5.26,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3468
0.56,5.33,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2119
1.22,6.81,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,6237
0.53,5.21,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1946
1.01,6.38,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,4855
0.7,5.72,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2620
1.69,7.87,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,16583
0.72,5.76,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2514
0.33,4.48,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,772
0.51,5.08,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,1656
0.74,5.91,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1982
2.04,8.29,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12554
0.51,5.2,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,2063
0.31,4.33,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,696
0.23,3.86,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,362
0.56,5.26,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2292
0.53,5.22,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1830
2.21,8.48,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,15970
0.55,5.31,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1819
0.53,5.25,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1818
0.32,4.39,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,645
