carat,cut,color,clarity,depth,table,x,y,z,price
1.22,Premium,E,SI2,61.5,58.0,6.81,6.85,4.2,6237
0.53,Ideal,G,VVS2,61.0,56.0,5.21,5.25,3.19,1946
1.01,Very Good,H,SI1,61.8,60.0,6.38,6.44,3.96,4855
0.7,Ideal,I,VVS1,61.5,57.0,5.72,5.75,3.52,2620
1.69,Premium,F,VS2,58.7,59.0,7.87,7.78,4.59,16583
0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,2514
0.33,Very Good,F,VS1,59.1,60.0,4.48,4.52,2.66,772
0.51,Very Good,G,VS1,62.7,56.0,5.08,5.13,3.2,1656
0.74,Fair,J,VS1,58.8,68.0,5.91,5.8,3.44,1982
2.04,Ideal,J,SI1,59.1,59.0,8.29,8.24,4.88,12554
0.51,Ideal,H,IF,59.6,59.0,5.2,5.24,3.11,2063
0.31,Ideal,D,VS1,61.6,54.0,4.33,4.37,2.68,696
0.23,Very Good,D,VS2,62.7,58.0,3.86,3.89,2.43,362
0.56,Ideal,D,VS1,62.5,56.0,5.26,5.3,3.3,2292
0.53,Ideal,F,VS1,61.2,56.0,5.22,5.24,3.2,1830
2.21,Premium,G,SI2,60.7,62.0,8.48,8.42,5.13,15970
0.55,Ideal,F,VS2,61.1,56.0,5.31,5.27,3.23,1819
0.53,Ideal,F,VS1,60.4,57.0,5.25,5.22,3.16,1818
0.32,Very Good,F,VS2,61.1,58.0,4.39,4.42,2.69,645
0.84,Very Good,G,VS2,61.8,57.0,6.04,6.07,3.74,3596
1.01,Premium,F,SI2,60.0,60.0,6.46,6.4,3.86,3717
0.7,Fair,F,VS1,64.5,57.0,5.65,5.58,3.62,2381
1.04,Very Good,F,VS1,61.6,60.0,6.49,6.54,4.01,8090
0.51,Ideal,H,SI1,63.0,57.0,5.14,5.11,3.23,1195
0.5,Good,G,VVS2,64.4,57.0,4.97,5.05,3.22,1991
0.91,Very Good,H,SI1,63.4,55.0,6.18,6.15,3.91,3082
1.05,Very Good,E,VS1,63.1,59.0,6.49,6.45,4.08,7969
0.41,Ideal,I,VS2,61.5,55.0,4.8,4.82,2.96,747
0.5,Very Good,D,VS2,63.4,57.0,5.05,5.08,3.21,1627
0.36,Very Good,G,SI1,61.8,60.0,4.53,4.57,2.81,537
0.33,Premium,H,VS2,61.4,58.0,4.49,4.44,2.74,668
0.7,Ideal,G,IF,61.3,56.0,5.72,5.73,3.51,3949
1.01,Very Good,E,SI1,62.8,59.0,6.41,6.45,4.04,5416
0.32,Ideal,F,VS1,62.0,54.0,4.44,4.43,2.75,876
1.55,Ideal,E,SI1,61.5,56.0,7.4,7.36,4.54,13291
0.7,Ideal,I,SI1,61.0,57.0,5.71,5.74,3.5,2287
0.71,Very Good,E,SI2,62.2,58.0,5.68,5.73,3.55,2313
0.71,Very Good,D,VS2,63.0,58.0,5.65,5.68,3.57,3096
0.3,Ideal,F,SI1,61.9,57.0,4.31,4.35,2.68,475
2.0,Good,H,VS2,63.8,59.0,7.88,8.01,5.07,18023
1.5,Premium,I,SI2,62.8,57.0,7.34,7.25,4.58,7715
0.56,Very Good,H,VVS2,59.8,57.0,5.39,5.48,3.25,1723
0.42,Premium,F,SI1,60.6,61.0,4.87,4.83,2.94,926
0.4,Good,E,SI1,63.2,56.0,4.65,4.69,2.95,687
0.33,Very Good,G,VS1,61.6,57.0,4.42,4.51,2.75,621
0.7,Premium,F,SI1,59.5,57.0,5.81,5.79,3.45,2596
0.31,Ideal,D,VS2,60.2,56.0,4.46,4.41,2.67,804
0.54,Ideal,F,VVS1,61.6,55.0,5.27,5.28,3.25,2951
0.7,Very Good,I,SI2,63.4,59.0,5.66,5.57,3.56,1775
0.35,Ideal,J,VS2,61.4,55.0,4.55,4.57,2.8,446
0.4,Ideal,G,VVS2,62.4,57.0,4.7,4.73,2.94,917
0.31,Premium,H,VVS1,62.6,58.0,4.29,4.33,2.7,707
0.7,Good,F,SI1,63.1,57.0,5.61,5.65,3.55,2161
2.05,Premium,G,SI1,61.6,59.0,8.2,8.16,5.04,15291
0.43,Premium,D,SI1,60.1,58.0,4.89,4.93,2.95,830
0.33,Very Good,G,SI2,60.0,56.0,4.52,4.55,2.73,460
0.31,Very Good,G,VS1,63.2,56.0,4.32,4.29,2.72,802
0.91,Very Good,F,SI1,62.3,60.0,6.08,6.15,3.81,4049
0.27,Ideal,F,VS2,60.9,57.0,4.17,4.2,2.55,577
0.35,Ideal,F,VS2,62.1,54.0,4.55,4.58,2.83,747
0.79,Good,G,SI1,63.6,57.0,5.86,5.84,3.72,2726
0.52,Very Good,G,VS1,62.4,60.0,5.11,5.12,3.19,1689
0.42,Premium,G,VVS1,59.8,58.0,4.85,4.88,2.91,1179
0.72,Ideal,I,VVS2,61.6,57.0,5.73,5.76,3.54,2602
0.7,Very Good,F,VVS1,59.3,62.0,5.74,5.77,3.41,3270
1.2,Ideal,I,SI2,59.6,61.0,6.95,6.97,4.15,4890
1.36,Premium,I,VS1,62.0,59.0,7.1,7.06,4.39,7592
2.03,Premium,G,VS2,60.9,59.0,8.17,8.14,4.97,18166
0.51,Ideal,G,VVS2,61.8,56.0,5.16,5.1,3.17,1974
1.01,Very Good,D,SI2,61.4,60.0,6.33,6.38,3.9,4564
0.46,Ideal,J,VVS1,61.8,56.0,4.97,4.93,3.06,1018
0.3,Very Good,H,VS2,60.9,61.0,4.32,4.35,2.64,473
0.51,Very Good,G,VVS2,63.1,58.0,5.11,5.07,3.21,1974
0.38,Premium,H,VVS2,62.0,58.0,4.62,4.64,2.87,833
0.33,Ideal,G,VS2,61.2,55.0,4.46,4.49,2.74,579
1.23,Ideal,E,SI2,62.1,55.0,6.91,6.84,4.27,7336
0.9,Very Good,H,VS1,63.2,59.0,6.08,6.11,3.85,4324
0.7,Premium,H,SI1,60.3,55.0,5.8,5.75,3.48,2176
1.27,Premium,H,SI2,59.3,61.0,7.12,7.05,4.2,2845
0.41,Premium,G,VVS1,59.7,60.0,4.85,4.83,2.89,1148
0.8,Ideal,G,SI2,62.1,57.0,5.95,6.03,3.72,2429
1.31,Ideal,G,VS1,62.0,53.0,7.06,7.07,4.37,10556
2.3,Ideal,G,SI2,61.6,57.0,8.47,8.41,5.2,15433
0.5,Ideal,J,VS2,62.5,53.0,5.09,5.12,3.19,915
